r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
0,0,7.05E+13,1.62E+14,2.57E+14,3.53E+14,4.50E+14
0,0,1.10E+14,2.38E+14,3.68E+14,5.00E+14,6.32E+14
0,0,1.35E+14,2.83E+14,4.34E+14,5.85E+14,7.35E+14
0,0,1.52E+14,3.15E+14,4.78E+14,6.42E+14,8.05E+14
0,0,1.64E+14,3.38E+14,5.11E+14,6.83E+14,8.56E+14
0,0.258390454,1.08E+14,2.77E+14,4.60E+14,6.49E+14,8.42E+14
0,0.258390454,2.42E+14,5.74E+14,9.26E+14,1.29E+15,1.66E+15
0,0.258390454,3.68E+14,8.54E+14,1.37E+15,1.90E+15,2.43E+15
0,0.258390454,4.90E+14,1.13E+15,1.81E+15,2.50E+15,3.20E+15
0,0.258390454,6.09E+14,1.40E+15,2.24E+15,3.09E+15,3.96E+15
0,0.620137089,1.80E+14,5.04E+14,8.63E+14,1.23E+15,1.61E+15
0,0.620137089,5.62E+14,1.37E+15,2.22E+15,3.09E+15,3.96E+15
0,0.620137089,1.00E+15,2.34E+15,3.74E+15,5.15E+15,6.57E+15
0,0.620137089,1.48E+15,3.39E+15,5.36E+15,7.36E+15,9.36E+15
0,0.620137089,1.98E+15,4.48E+15,7.06E+15,9.66E+15,1.23E+16
0,1.126582378,3.14E+14,9.02E+14,1.54E+15,2.18E+15,2.83E+15
0,1.126582378,1.18E+15,2.74E+15,4.32E+15,5.89E+15,7.46E+15
0,1.126582378,2.19E+15,4.81E+15,7.43E+15,1.01E+16,1.27E+16
0,1.126582378,3.28E+15,7.03E+15,1.08E+16,1.45E+16,1.83E+16
0,1.126582378,4.41E+15,9.34E+15,1.43E+16,1.92E+16,2.42E+16
0,1.835605782,5.47E+14,1.55E+15,2.59E+15,3.62E+15,4.64E+15
0,1.835605782,2.19E+15,4.83E+15,7.42E+15,9.98E+15,1.25E+16
0,1.835605782,4.06E+15,8.45E+15,1.28E+16,1.71E+16,2.14E+16
0,1.835605782,6.02E+15,1.23E+16,1.86E+16,2.48E+16,3.10E+16
0,1.835605782,8.03E+15,1.63E+16,2.46E+16,3.28E+16,4.10E+16
0,2.828238549,9.07E+14,2.49E+15,4.09E+15,5.66E+15,7.20E+15
0,2.828238549,3.65E+15,7.77E+15,1.18E+16,1.57E+16,1.96E+16
0,2.828238549,6.69E+15,1.36E+16,2.03E+16,2.70E+16,3.36E+16
0,2.828238549,9.87E+15,1.97E+16,2.95E+16,3.91E+16,4.87E+16
0,2.828238549,1.31E+16,2.61E+16,3.90E+16,5.18E+16,6.45E+16
0,4.594050799,1.59E+15,4.20E+15,6.81E+15,9.35E+15,1.18E+16
0,4.594050799,6.31E+15,1.31E+16,1.96E+16,2.60E+16,3.24E+16
0,4.594050799,1.15E+16,2.28E+16,3.38E+16,4.48E+16,5.56E+16
0,4.594050799,1.68E+16,3.31E+16,4.91E+16,6.50E+16,8.07E+16
0,4.594050799,2.23E+16,4.38E+16,6.50E+16,8.60E+16,1.07E+17
0,7.493953556,2.72E+15,7.05E+15,1.13E+16,1.55E+16,1.95E+16
0,7.493953556,1.07E+16,2.19E+16,3.26E+16,4.31E+16,5.35E+16
0,7.493953556,1.94E+16,3.81E+16,5.63E+16,7.42E+16,9.20E+16
0,7.493953556,2.84E+16,5.52E+16,8.16E+16,1.08E+17,1.34E+17
0,7.493953556,3.75E+16,7.30E+16,1.08E+17,1.43E+17,1.77E+17
0,11.69169824,4.32E+15,1.11E+16,1.77E+16,2.41E+16,3.03E+16
0,11.69169824,1.70E+16,3.44E+16,5.10E+16,6.73E+16,8.33E+16
0,11.69169824,3.06E+16,5.97E+16,8.79E+16,1.16E+17,1.43E+17
0,11.69169824,4.47E+16,8.66E+16,1.28E+17,1.68E+17,2.08E+17
0,11.69169824,5.91E+16,1.14E+17,1.69E+17,2.22E+17,2.76E+17
0,19.06657191,7.02E+15,1.79E+16,2.85E+16,3.87E+16,4.86E+16
0,19.06657191,2.76E+16,5.56E+16,8.22E+16,1.08E+17,1.34E+17
0,19.06657191,4.97E+16,9.63E+16,1.42E+17,1.86E+17,2.30E+17
0,19.06657191,7.26E+16,1.40E+17,2.05E+17,2.70E+17,3.34E+17
0,19.06657191,9.58E+16,1.84E+17,2.71E+17,3.57E+17,4.42E+17
0,28.32417332,1.00E+16,2.54E+16,4.04E+16,5.48E+16,6.88E+16
0,28.32417332,3.95E+16,7.92E+16,1.17E+17,1.53E+17,1.90E+17
0,28.32417332,7.11E+16,1.37E+17,2.01E+17,2.64E+17,3.26E+17
0,28.32417332,1.04E+17,1.99E+17,2.91E+17,3.82E+17,4.72E+17
0,28.32417332,1.37E+17,2.62E+17,3.84E+17,5.05E+17,6.25E+17
0,38.85257872,1.27E+16,3.22E+16,5.12E+16,6.93E+16,8.69E+16
0,38.85257872,5.03E+16,1.00E+17,1.48E+17,1.94E+17,2.40E+17
0,38.85257872,9.04E+16,1.74E+17,2.54E+17,3.33E+17,4.11E+17
0,38.85257872,1.32E+17,2.51E+17,3.68E+17,4.82E+17,5.95E+17
0,38.85257872,1.74E+17,3.31E+17,4.85E+17,6.37E+17,7.87E+17
0,47.25481549,1.40E+16,3.56E+16,5.65E+16,7.65E+16,9.59E+16
