p0,% r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
1.3332,0,0,7.05E+13,1.62E+14,2.57E+14,3.53E+14,4.5E+14
1.3332,0,0.258390454,1.08E+14,2.77E+14,4.6E+14,6.49E+14,8.42E+14
1.3332,0,0.620137089,1.8E+14,5.04E+14,8.63E+14,1.23E+15,1.61E+15
1.3332,0,1.126582378,3.14E+14,9.02E+14,1.54E+15,2.18E+15,2.83E+15
1.3332,0,1.835605782,5.47E+14,1.55E+15,2.59E+15,3.62E+15,4.64E+15
1.3332,0,2.828238549,9.07E+14,2.49E+15,4.09E+15,5.66E+15,7.2E+15
1.3332,0,4.594050799,1.59E+15,4.2E+15,6.81E+15,9.35E+15,1.18E+16
1.3332,0,7.493953556,2.72E+15,7.05E+15,1.13E+16,1.55E+16,1.95E+16
1.3332,0,11.69169824,4.32E+15,1.11E+16,1.77E+16,2.41E+16,3.03E+16
1.3332,0,19.06657191,7.02E+15,1.79E+16,2.85E+16,3.87E+16,4.86E+16
1.3332,0,28.32417332,1E+16,2.54E+16,4.04E+16,5.48E+16,6.88E+16
1.3332,0,38.85257872,1.27E+16,3.22E+16,5.12E+16,6.93E+16,8.69E+16
1.3332,0,47.25481549,1.4E+16,3.56E+16,5.65E+16,7.65E+16,9.59E+16
1.3332,0,54.00065546,1.44E+16,3.65E+16,5.8E+16,7.86E+16,9.85E+16
1.3332,0,60.74685042,1.43E+16,3.6E+16,5.72E+16,7.75E+16,9.72E+16
1.3332,0,69.35626511,1.32E+16,3.33E+16,5.29E+16,7.16E+16,8.98E+16
1.3332,0,80.40561449,1.03E+16,2.59E+16,4.11E+16,5.57E+16,6.98E+16
1.3332,0,89.69560361,7.4E+15,1.86E+16,2.95E+16,4E+16,5.02E+16
1.3332,0,96.44802976,4.88E+15,1.23E+16,1.95E+16,2.64E+16,3.32E+16
1.3332,0,100.7895543,3.16E+15,7.98E+15,1.27E+16,1.72E+16,2.16E+16
1.3332,0,103.05152,2.24E+15,5.66E+15,8.99E+15,1.22E+16,1.53E+16
1.3332,0,105.3134856,1.32E+15,3.36E+15,5.36E+15,7.27E+15,9.14E+15
1.3332,0,106.2563771,9.5E+14,2.43E+15,3.87E+15,5.26E+15,6.61E+15
1.3332,0,106.9298711,6.89E+14,1.76E+15,2.81E+15,3.82E+15,4.8E+15
1.3332,0,107.4109382,5.12E+14,1.3E+15,2.07E+15,2.8E+15,3.52E+15
1.3332,0,107.7545576,3.92E+14,9.74E+14,1.54E+15,2.08E+15,2.6E+15
1.3332,0,108,3.13E+14,7.62E+14,1.19E+15,1.6E+15,2E+15
1.3332,3.973150503,4.002719909,1.37E+15,3.67E+15,5.96E+15,8.2E+15,1.04E+16
1.3332,4.568829957,5.992545412,2.16E+15,5.65E+15,9.11E+15,1.25E+16,1.57E+16
1.3332,5.189005082,9.720912242,3.62E+15,9.29E+15,1.49E+16,2.03E+16,2.55E+16
1.3332,5.277939828,104.2292593,1.77E+15,4.5E+15,7.15E+15,9.7E+15,1.22E+16
1.3332,5.365570751,16.15244298,6.02E+15,1.53E+16,2.45E+16,3.32E+16,4.18E+16
1.3332,5.420442549,23.84512276,8.66E+15,2.2E+16,3.5E+16,4.75E+16,5.97E+16
1.3332,5.468068794,33.91598093,1.16E+16,2.95E+16,4.68E+16,6.35E+16,7.97E+16
1.3332,5.492516059,43.80711828,1.36E+16,3.45E+16,5.49E+16,7.43E+16,9.32E+16
1.3332,5.515561311,50.58949206,1.43E+16,3.63E+16,5.76E+16,7.8E+16,9.78E+16
1.3332,5.528953915,57.34132426,1.44E+16,3.65E+16,5.8E+16,7.85E+16,9.84E+16
1.3332,5.541928835,64.07740455,1.39E+16,3.53E+16,5.6E+16,7.58E+16,9.51E+16
1.3332,5.608358413,92.30942719,6.51E+15,1.64E+16,2.6E+16,3.52E+16,4.42E+16
1.3332,5.687819811,98.176899,4.24E+15,1.07E+16,1.69E+16,2.3E+16,2.88E+16
1.3332,5.712810543,70.93495596,1.29E+16,3.26E+16,5.18E+16,7.01E+16,8.79E+16
1.3332,5.744549729,84.94541048,9.02E+15,2.27E+16,3.6E+16,4.88E+16,6.13E+16
1.3332,6.678571429,0,7.06E+13,1.62E+14,2.57E+14,3.53E+14,4.51E+14
1.3332,6.678571429,0.258390454,1.09E+14,2.78E+14,4.62E+14,6.53E+14,8.48E+14
1.3332,6.678571429,0.620137089,1.82E+14,5.09E+14,8.72E+14,1.25E+15,1.63E+15
1.3332,6.678571429,1.126582378,3.18E+14,9.14E+14,1.56E+15,2.21E+15,2.86E+15
