avg(x),avg(y)
1.4016E+01,0.0000E+00
1.4017E+01,2.5701E-27
1.4033E+01,2.7053E-27
1.4051E+01,4.3573E-27
1.4069E+01,4.3604E-27
1.4088E+01,5.7200E-27
1.4106E+01,6.0201E-27
1.4125E+01,6.3358E-27
1.4144E+01,6.6681E-27
1.4164E+01,7.0177E-27
1.4184E+01,7.3854E-27
1.4205E+01,7.7725E-27
1.4225E+01,8.1796E-27
1.4246E+01,8.6081E-27
1.4268E+01,9.0586E-27
1.4290E+01,9.5328E-27
1.4312E+01,1.0032E-26
1.4334E+01,1.0556E-26
1.4357E+01,1.1109E-26
1.4381E+01,1.1689E-26
1.4404E+01,1.2300E-26
1.4429E+01,1.2943E-26
1.4453E+01,2.0412E-26
1.4478E+01,2.1634E-26
1.4504E+01,3.3157E-26
1.4530E+01,3.5282E-26
1.4556E+01,3.7545E-26
1.4583E+01,3.9953E-26
1.4610E+01,4.2517E-26
1.4638E+01,4.5249E-26
1.4666E+01,6.2161E-26
1.4695E+01,6.6300E-26
1.4724E+01,7.0716E-26
1.4754E+01,7.5427E-26
1.4784E+01,8.0454E-26
1.4815E+01,8.5816E-26
1.4846E+01,9.1535E-26
1.4878E+01,9.7639E-26
1.4911E+01,1.0415E-25
1.4944E+01,1.1109E-25
1.4977E+01,1.1850E-25
1.5011E+01,1.2640E-25
1.5046E+01,1.3483E-25
1.5081E+01,1.4297E-25
1.5117E+01,1.5163E-25
1.5154E+01,1.5938E-25
1.5191E+01,1.6757E-25
1.5229E+01,1.7770E-25
1.5268E+01,1.8721E-25
1.5307E+01,1.9727E-25
1.5347E+01,2.0791E-25
1.5387E+01,2.1631E-25
1.5429E+01,2.2222E-25
1.5471E+01,2.2931E-25
1.5513E+01,2.3951E-25
1.5557E+01,2.5019E-25
1.5601E+01,2.6141E-25
1.5646E+01,2.6193E-25
1.5692E+01,2.7395E-25
1.5739E+01,2.8658E-25
1.5786E+01,2.9984E-25
1.5834E+01,3.1379E-25
1.5883E+01,3.2845E-25
1.5933E+01,3.4386E-25
1.5984E+01,3.6007E-25
1.6036E+01,3.7712E-25
1.6089E+01,3.9506E-25
1.6142E+01,4.1393E-25
1.6197E+01,4.3202E-25
1.6252E+01,4.5097E-25
1.6308E+01,4.7084E-25
1.6366E+01,4.9167E-25
1.6424E+01,5.1349E-25
1.6483E+01,5.3466E-25
