elastic(x),1s5(x),1s4(x),1s3(x),1s2(x),2p10(x),2p9(x),2p8(x),2p7(x),2p6(x),2p5(x),2p4(x),2p3(x),2p2(x),2p1(x),3d6(x),3d5(x),3d3(x),3d4!(x),3d4(x),3d1!!(x),2s5(x),2s4(x),3d1!(x),3d2(x),3s1!!!!(x),3s1!!(x),3s1!!!(x),2s3(x),2s2(x),3s1!(x),4d5(x),3s4(x),4d2(x),4s1!(x),3s2(x),5d5(x),4s4(x),5d2(x),6d5(x),5s1!(x),4s2(x),5s4(x),6d2(x),high(x),ion(x),avg(x)
0.0000E+00,1.1548E+01,1.1624E+01,1.1723E+01,1.1828E+01,1.2907E+01,1.3076E+01,1.3095E+01,1.3153E+01,1.3172E+01,1.3273E+01,1.3283E+01,1.3302E+01,1.3328E+01,1.3480E+01,1.3845E+01,1.3864E+01,1.3903E+01,1.3979E+01,1.4013E+01,1.4063E+01,1.4068E+01,1.4090E+01,1.4099E+01,1.4153E+01,1.4214E+01,1.4234E+01,1.4236E+01,1.4241E+01,1.4255E+01,1.4304E+01,1.4711E+01,1.4848E+01,1.4859E+01,1.5004E+01,1.5022E+01,1.5118E+01,1.5186E+01,1.5190E+01,1.5308E+01,1.5351E+01,1.5360E+01,1.5366E+01,1.5374E+01,1.5660E+01,1.5760E+01,1.4016E+01
1.0000E-03,1.1549E+01,1.1625E+01,1.1724E+01,1.1829E+01,1.2908E+01,1.3077E+01,1.3096E+01,1.3154E+01,1.3173E+01,1.3274E+01,1.3284E+01,1.3303E+01,1.3329E+01,1.3481E+01,1.3846E+01,1.3865E+01,1.3904E+01,1.3980E+01,1.4014E+01,1.4064E+01,1.4069E+01,1.4091E+01,1.4100E+01,1.4154E+01,1.4215E+01,1.4235E+01,1.4237E+01,1.4242E+01,1.4256E+01,1.4305E+01,1.4712E+01,1.4849E+01,1.4860E+01,1.5005E+01,1.5023E+01,1.5119E+01,1.5187E+01,1.5191E+01,1.5309E+01,1.5352E+01,1.5361E+01,1.5367E+01,1.5375E+01,1.5661E+01,1.5761E+01,1.4017E+01
2.0000E-03,1.1565E+01,1.1641E+01,1.1740E+01,1.1845E+01,1.2924E+01,1.3093E+01,1.3112E+01,1.3170E+01,1.3189E+01,1.3290E+01,1.3300E+01,1.3319E+01,1.3345E+01,1.3497E+01,1.3862E+01,1.3881E+01,1.3920E+01,1.3996E+01,1.4030E+01,1.4080E+01,1.4085E+01,1.4107E+01,1.4116E+01,1.4170E+01,1.4231E+01,1.4251E+01,1.4253E+01,1.4258E+01,1.4272E+01,1.4321E+01,1.4728E+01,1.4865E+01,1.4876E+01,1.5021E+01,1.5039E+01,1.5135E+01,1.5203E+01,1.5207E+01,1.5325E+01,1.5368E+01,1.5377E+01,1.5383E+01,1.5391E+01,1.5677E+01,1.5777E+01,1.4033E+01
5.0000E-03,1.1583E+01,1.1659E+01,1.1758E+01,1.1863E+01,1.2942E+01,1.3111E+01,1.3130E+01,1.3188E+01,1.3207E+01,1.3308E+01,1.3318E+01,1.3337E+01,1.3363E+01,1.3515E+01,1.3880E+01,1.3899E+01,1.3938E+01,1.4014E+01,1.4048E+01,1.4098E+01,1.4103E+01,1.4125E+01,1.4134E+01,1.4188E+01,1.4249E+01,1.4269E+01,1.4271E+01,1.4276E+01,1.4290E+01,1.4339E+01,1.4746E+01,1.4883E+01,1.4894E+01,1.5039E+01,1.5057E+01,1.5153E+01,1.5221E+01,1.5225E+01,1.5343E+01,1.5386E+01,1.5395E+01,1.5401E+01,1.5409E+01,1.5695E+01,1.5795E+01,1.4051E+01
1.0000E-02,1.1601E+01,1.1677E+01,1.1776E+01,1.1881E+01,1.2960E+01,1.3129E+01,1.3148E+01,1.3206E+01,1.3225E+01,1.3326E+01,1.3336E+01,1.3355E+01,1.3381E+01,1.3533E+01,1.3898E+01,1.3917E+01,1.3956E+01,1.4032E+01,1.4066E+01,1.4116E+01,1.4121E+01,1.4143E+01,1.4152E+01,1.4206E+01,1.4267E+01,1.4287E+01,1.4289E+01,1.4294E+01,1.4308E+01,1.4357E+01,1.4764E+01,1.4901E+01,1.4912E+01,1.5057E+01,1.5075E+01,1.5171E+01,1.5239E+01,1.5243E+01,1.5361E+01,1.5404E+01,1.5413E+01,1.5419E+01,1.5427E+01,1.5713E+01,1.5813E+01,1.4069E+01
1.7419E-02,1.1620E+01,1.1696E+01,1.1795E+01,1.1900E+01,1.2979E+01,1.3148E+01,1.3167E+01,1.3225E+01,1.3244E+01,1.3345E+01,1.3355E+01,1.3374E+01,1.3400E+01,1.3552E+01,1.3917E+01,1.3936E+01,1.3975E+01,1.4051E+01,1.4085E+01,1.4135E+01,1.4140E+01,1.4162E+01,1.4171E+01,1.4225E+01,1.4286E+01,1.4306E+01,1.4308E+01,1.4313E+01,1.4327E+01,1.4376E+01,1.4783E+01,1.4920E+01,1.4931E+01,1.5076E+01,1.5094E+01,1.5190E+01,1.5258E+01,1.5262E+01,1.5380E+01,1.5423E+01,1.5432E+01,1.5438E+01,1.5446E+01,1.5732E+01,1.5831E+01,1.4088E+01
3.5142E-02,1.1638E+01,1.1714E+01,1.1813E+01,1.1918E+01,1.2997E+01,1.3166E+01,1.3185E+01,1.3243E+01,1.3262E+01,1.3363E+01,1.3373E+01,1.3392E+01,1.3418E+01,1.3570E+01,1.3935E+01,1.3954E+01,1.3993E+01,1.4069E+01,1.4103E+01,1.4153E+01,1.4158E+01,1.4180E+01,1.4189E+01,1.4243E+01,1.4304E+01,1.4324E+01,1.4326E+01,1.4331E+01,1.4345E+01,1.4394E+01,1.4801E+01,1.4938E+01,1.4949E+01,1.5094E+01,1.5112E+01,1.5208E+01,1.5276E+01,1.5280E+01,1.5398E+01,1.5441E+01,1.5450E+01,1.5456E+01,1.5464E+01,1.5750E+01,1.5850E+01,1.4106E+01
5.3174E-02,1.1657E+01,1.1733E+01,1.1832E+01,1.1937E+01,1.3016E+01,1.3185E+01,1.3204E+01,1.3262E+01,1.3281E+01,1.3382E+01,1.3392E+01,1.3411E+01,1.3437E+01,1.3589E+01,1.3954E+01,1.3973E+01,1.4012E+01,1.4088E+01,1.4122E+01,1.4172E+01,1.4177E+01,1.4199E+01,1.4208E+01,1.4262E+01,1.4323E+01,1.4343E+01,1.4345E+01,1.4350E+01,1.4364E+01,1.4413E+01,1.4820E+01,1.4957E+01,1.4968E+01,1.5113E+01,1.5131E+01,1.5227E+01,1.5295E+01,1.5299E+01,1.5417E+01,1.5460E+01,1.5469E+01,1.5475E+01,1.5483E+01,1.5769E+01,1.5869E+01,1.4125E+01
7.1519E-02,1.1676E+01,1.1752E+01,1.1851E+01,1.1956E+01,1.3035E+01,1.3204E+01,1.3223E+01,1.3281E+01,1.3300E+01,1.3401E+01,1.3411E+01,1.3430E+01,1.3456E+01,1.3608E+01,1.3973E+01,1.3992E+01,1.4031E+01,1.4107E+01,1.4141E+01,1.4191E+01,1.4196E+01,1.4218E+01,1.4227E+01,1.4281E+01,1.4342E+01,1.4362E+01,1.4364E+01,1.4369E+01,1.4383E+01,1.4432E+01,1.4839E+01,1.4976E+01,1.4987E+01,1.5132E+01,1.5150E+01,1.5246E+01,1.5314E+01,1.5318E+01,1.5436E+01,1.5479E+01,1.5488E+01,1.5494E+01,1.5502E+01,1.5788E+01,1.5888E+01,1.4144E+01
9.0184E-02,1.1696E+01,1.1772E+01,1.1871E+01,1.1976E+01,1.3055E+01,1.3224E+01,1.3243E+01,1.3301E+01,1.3320E+01,1.3421E+01,1.3431E+01,1.3450E+01,1.3476E+01,1.3628E+01,1.3993E+01,1.4012E+01,1.4051E+01,1.4127E+01,1.4161E+01,1.4211E+01,1.4216E+01,1.4238E+01,1.4247E+01,1.4301E+01,1.4362E+01,1.4382E+01,1.4384E+01,1.4389E+01,1.4403E+01,1.4452E+01,1.4859E+01,1.4996E+01,1.5007E+01,1.5152E+01,1.5170E+01,1.5266E+01,1.5334E+01,1.5338E+01,1.5456E+01,1.5499E+01,1.5508E+01,1.5514E+01,1.5522E+01,1.5808E+01,1.5908E+01,1.4164E+01
