elastic(y),1s5(y),1s4(y),1s3(y),1s2(y),2p10(y),2p9(y),2p8(y),2p7(y),2p6(y),2p5(y),2p4(y),2p3(y),2p2(y),2p1(y),3d6(y),3d5(y),3d3(y),3d4!(y),3d4(y),3d1!!(y),2s5(y),2s4(y),3d1!(y),3d2(y),3s1!!!!(y),3s1!!(y),3s1!!!(y),2s3(y),2s2(y),3s1!(y),4d5(y),3s4(y),4d2(y),4s1!(y),3s2(y),5d5(y),4s4(y),5d2(y),6d5(y),5s1!(y),4s2(y),5s4(y),6d2(y),high(y),ion(y),avg(y)
6.2984E-20,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
6.2984E-20,1.3462E-24,3.4615E-24,6.5184E-25,7.0454E-24,1.5200E-23,5.9524E-26,4.1989E-26,2.3613E-26,4.3478E-26,1.2380E-26,2.5105E-26,2.2206E-26,2.9762E-26,5.5769E-26,7.0968E-26,2.9412E-25,1.5464E-25,2.1156E-25,6.3830E-26,6.4034E-26,6.4378E-26,7.3921E-31,8.8790E-27,2.0388E-30,1.0178E-25,7.1802E-26,1.5707E-26,1.5810E-26,2.8245E-31,2.2829E-30,3.5143E-32,2.4020E-31,8.0057E-31,3.0894E-31,3.2062E-31,5.5355E-32,5.4434E-31,5.4256E-31,8.6646E-33,5.6826E-33,8.1827E-33,1.4302E-31,3.1689E-31,1.1547E-30,1.2896E-24,6.6264E-25
5.8350E-20,2.3449E-23,6.0298E-23,1.1355E-23,1.2273E-22,4.3427E-23,1.0369E-24,7.3142E-25,4.1132E-25,7.5736E-25,2.1565E-25,4.3731E-25,3.8682E-25,5.1843E-25,9.7146E-25,1.2362E-24,5.1234E-24,2.6937E-24,3.6852E-24,1.1119E-24,1.1154E-24,1.1214E-24,1.2003E-27,1.5467E-25,3.3929E-27,1.7730E-24,1.2507E-24,2.7360E-25,2.7541E-25,4.8958E-28,4.0369E-27,7.4220E-29,5.4128E-28,1.8137E-27,7.5224E-28,7.8789E-28,1.4300E-28,1.4583E-27,1.4567E-27,2.4834E-29,1.6691E-29,2.4159E-29,4.2373E-28,9.4320E-28,4.0933E-27,2.2464E-23,6.5128E-24
4.9775E-20,4.7307E-23,1.4302E-22,3.4209E-23,1.9117E-22,5.4829E-23,2.0918E-24,1.4756E-24,8.2980E-25,1.5279E-24,4.3505E-25,8.8223E-25,7.8038E-25,1.0459E-24,1.9598E-24,2.4940E-24,1.0336E-23,5.4343E-24,7.4346E-24,2.2431E-24,2.2503E-24,2.2624E-24,5.0413E-27,3.1203E-25,1.4255E-26,3.5768E-24,2.5233E-24,5.5197E-25,5.5561E-25,2.0581E-27,1.6975E-26,3.1277E-28,2.2828E-27,7.6495E-27,3.1752E-27,3.3260E-27,6.0398E-28,6.1619E-27,6.1553E-27,1.0500E-28,7.0592E-29,1.0218E-28,1.7922E-27,3.9896E-27,1.7343E-26,4.5318E-23,1.1855E-23
4.1130E-20,7.2034E-23,1.5700E-22,4.3661E-23,1.7494E-22,5.8258E-23,3.1651E-24,2.2327E-24,1.2556E-24,2.3119E-24,6.5827E-25,1.3349E-24,1.1808E-24,1.5826E-24,2.9655E-24,3.7736E-24,1.5639E-23,8.2227E-24,1.1249E-23,3.3941E-24,3.4049E-24,3.4232E-24,1.1637E-26,4.7213E-25,3.2910E-26,5.4121E-24,3.8180E-24,8.3519E-25,8.4069E-25,4.7523E-27,3.9200E-26,7.2285E-28,5.2771E-27,1.7684E-26,7.3423E-27,7.6914E-27,1.3970E-27,1.4254E-26,1.4239E-26,2.4296E-28,1.6335E-28,2.3645E-28,4.1473E-27,9.2323E-27,4.0156E-26,6.8571E-23,1.3256E-23
3.2906E-20,1.0383E-22,1.5114E-22,4.4096E-23,1.5843E-22,7.3519E-23,4.2571E-24,3.0030E-24,1.6888E-24,3.1095E-24,8.8538E-25,1.7955E-24,1.5882E-24,2.1286E-24,3.9886E-24,5.0756E-24,2.1035E-23,1.1060E-23,1.5130E-23,4.5651E-24,4.5797E-24,4.6042E-24,2.1104E-26,6.3502E-25,5.9685E-26,7.2793E-24,5.1352E-24,1.1233E-24,1.1307E-24,8.6196E-27,7.1103E-26,1.3117E-27,9.5774E-27,3.2095E-26,1.3328E-26,1.3962E-26,2.5361E-27,2.5879E-26,2.5851E-26,4.4117E-28,2.9662E-28,4.2938E-28,7.5313E-27,1.6765E-26,7.2944E-26,9.2229E-23,1.4436E-23
2.1449E-20,1.2200E-22,1.3452E-22,3.6408E-23,1.4527E-22,9.2184E-23,5.3681E-24,3.7868E-24,2.1295E-24,3.9211E-24,1.1165E-24,2.2640E-24,2.0027E-24,2.6841E-24,5.0295E-24,6.4002E-24,2.6525E-23,1.3946E-23,1.9079E-23,5.7565E-24,5.7749E-24,5.8059E-24,3.3560E-26,8.0075E-25,9.4918E-26,9.1791E-24,6.4754E-24,1.4165E-24,1.4258E-24,1.3709E-26,1.1309E-25,2.0869E-27,1.5239E-26,5.1067E-26,2.1209E-26,2.2218E-26,4.0360E-27,4.1186E-26,4.1143E-26,7.0218E-28,4.7213E-28,6.8344E-28,1.1988E-26,2.6686E-26,1.1613E-25,1.1630E-22,1.5043E-23
1.4741E-20,1.0397E-22,1.1648E-22,2.6913E-23,1.3389E-22,1.4690E-22,6.4985E-24,4.5841E-24,2.5779E-24,4.7467E-24,1.3515E-24,2.7408E-24,2.4244E-24,3.2493E-24,6.0886E-24,7.7479E-24,3.2110E-23,1.6765E-23,2.3097E-23,6.9686E-24,6.9909E-24,7.0284E-24,4.9128E-26,9.6937E-25,1.3895E-25,1.1112E-23,7.8389E-24,1.7148E-24,1.7261E-24,2.0070E-26,1.6557E-25,3.0560E-27,2.2317E-26,7.4789E-26,3.1063E-26,3.2541E-26,5.9116E-27,6.0329E-26,6.0265E-26,1.0286E-27,6.9163E-28,1.0012E-27,1.7561E-26,3.9093E-26,1.7015E-25,1.4079E-22,1.5622E-23
1.0326E-20,9.5639E-23,1.0612E-22,2.3000E-23,1.2552E-22,1.7871E-22,7.6486E-24,5.3954E-24,3.0341E-24,5.5868E-24,1.5907E-24,3.2258E-24,2.8534E-24,3.8243E-24,7.1661E-24,9.1191E-24,3.7793E-23,1.9567E-23,2.7184E-23,8.2019E-24,8.2281E-24,8.2723E-24,6.7934E-26,1.1409E-24,1.9215E-25,1.3078E-23,9.2262E-24,2.0183E-24,2.0316E-24,2.7755E-26,2.2897E-25,4.2271E-27,3.0871E-26,1.0345E-25,4.2972E-26,4.5017E-26,8.1785E-27,8.3464E-26,8.3377E-26,1.4232E-27,9.5694E-28,1.3853E-27,2.4298E-26,5.4089E-26,2.3545E-25,1.6570E-22,1.6282E-23
7.2732E-21,8.9250E-23,1.1486E-22,2.1494E-23,1.2198E-22,1.6304E-22,8.8187E-24,6.2208E-24,3.4983E-24,6.4415E-24,1.8341E-24,3.7193E-24,3.2899E-24,4.4093E-24,8.2624E-24,1.0514E-23,4.3160E-23,2.2417E-23,3.1343E-23,9.4566E-24,9.4869E-24,9.5378E-24,9.0107E-26,1.3155E-24,2.5487E-25,1.5079E-23,1.0638E-23,2.3270E-24,2.3424E-24,3.6816E-26,3.0373E-25,5.6082E-27,4.0960E-26,1.3726E-25,5.7018E-26,5.9733E-26,1.0852E-26,1.1076E-25,1.1064E-25,1.8886E-27,1.2699E-27,1.8383E-27,3.2245E-26,7.1781E-26,3.1250E-25,1.9105E-22,1.6509E-23
